         294610 function calls (285110 primitive calls) in 32.581 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8202    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
7388/7208    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
    364/1    0.001    0.000    0.368    0.368 <frozen importlib._bootstrap_external>:672(exec_module)
      446    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1472    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
      602    0.001    0.000    0.027    0.000 re.py:286(_compile)
      364    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1389    0.001    0.000    0.004    0.000 {built-in method builtins.any}
      166    0.001    0.000    0.009    0.000 typing.py:732(__new__)
  446/443    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      840    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(empty_like)
      421    0.001    0.000    0.005    0.000 DT.py:329(_impurity_sum)
     1851    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
   186/95    0.001    0.000    0.002    0.000 abc.py:196(__subclasscheck__)
     1851    0.001    0.000    0.003    0.000 typing.py:646(<genexpr>)
      631    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(argmax)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      842    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(copyto)
      427    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      165    0.001    0.000    0.011    0.000 typing.py:790(__getitem__)
      655    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  481/330    0.001    0.000    0.003    0.000 typing.py:580(_subs_tree)
      840    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(zeros_like)
       27    0.001    0.000    0.013    0.000 __init__.py:357(namedtuple)
      217    0.001    0.000    0.001    0.000 typing.py:852(_next_in_mro)
      631    0.001    0.000    0.009    0.000 fromnumeric.py:1112(argmax)
     1916    0.001    0.000    0.002    0.000 sre_parse.py:253(get)
      728    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      910    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      269    0.001    0.000    0.002    0.000 abc.py:135(<setcomp>)
      420    0.001    0.000    0.349    0.001 <__array_function__ internals>:2(argsort)
      420    0.001    0.000    0.348    0.001 fromnumeric.py:997(argsort)
   166/59    0.001    0.000    0.010    0.000 sre_parse.py:407(_parse_sub)
      170    0.001    0.000    0.001    0.000 typing.py:896(_no_slots_copy)
      463    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      432    0.001    0.000    0.024    0.000 _decorators.py:330(__call__)
      427    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      273    0.001    0.000    0.003    0.000 function_base.py:460(add_newdoc)
  924/653    0.001    0.000    0.002    0.000 typing.py:553(_replace_arg)
      465    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      791    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
      655    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      364    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
3387/2990    0.001    0.000    0.003    0.000 {built-in method builtins.issubclass}
      842    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(inner)
      463    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
   368/51    0.001    0.000    0.211    0.004 {built-in method builtins.__import__}
        1    0.001    0.001    0.001    0.001 utils.py:4(<module>)
  424/370    0.000    0.000    0.001    0.000 typing.py:336(_get_type_vars)
      586    0.000    0.000    0.000    0.000 functools.py:74(wraps)
      900    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       59    0.000    0.000    0.026    0.000 sre_compile.py:557(compile)
      715    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     2939    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      142    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
      421    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
     2939    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      572    0.000    0.000    0.001    0.000 <string>:12(__new__)
        4    0.000    0.000    0.001    0.000 enum.py:124(__new__)
     1356    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      421    0.000    0.000    0.000    0.000 DT.py:618(__init__)
      463    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
    421/1    0.000    0.000    0.001    0.001 DT.py:509(recurse)
        1    0.000    0.000    0.001    0.001 range.py:36(RangeIndex)
      161    0.000    0.000    0.000    0.000 _decorators.py:289(__call__)
      616    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
      365    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1295    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     2256    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1356    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
     1990    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.005    0.005 generic.py:151(NDFrame)
        3    0.000    0.000    0.017    0.006 numeric.py:1(<module>)
      857    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      156    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      443    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
     1782    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       59    0.000    0.000    0.002    0.000 sre_compile.py:482(_compile_info)
      465    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
    616/2    0.000    0.000    0.368    0.184 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      603    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       24    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       59    0.000    0.000    0.012    0.000 sre_parse.py:844(parse)
      728    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
  199/189    0.000    0.000    0.004    0.000 typing.py:805(_subs_tree)
      364    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
  315/266    0.000    0.000    0.002    0.000 typing.py:1083(_subs_tree)
      525    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
      690    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
      819    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000   32.582   32.582 optimise_DT.py:1(<module>)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1031    0.000    0.000    0.000    0.000 typing.py:1089(__eq__)
      729    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      133    0.000    0.000    0.001    0.000 enum.py:797(__or__)
      631    0.000    0.000    0.003    0.000 _asarray.py:16(asarray)
      876    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      421    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(dot)
       54    0.000    0.000    0.001    0.000 config.py:413(register_option)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
        3    0.000    0.000    0.115    0.038 __init__.py:7(<module>)
     1259    0.000    0.000    0.000    0.000 typing.py:651(<genexpr>)
