         294610 function calls (285110 primitive calls) in 32.581 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.028    0.028 _internal.py:6(<module>)
        1    0.000    0.000    0.011    0.011 subprocess.py:42(<module>)
        3    0.000    0.000    0.001    0.000 enum.py:366(_create_)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:22(<module>)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
      144    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.068    0.068 frame.py:10(<module>)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 pytables.py:1834(IndexCol)
       36    0.000    0.000    0.000    0.000 docstrings.py:7(_make_flex_doc)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.009    0.009 indexing.py:1(<module>)
        2    0.000    0.000    0.007    0.004 base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interval.py:154(IntervalIndex)
        1    0.000    0.000    0.000    0.000 array.py:195(SparseArray)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
      164    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
       26    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
        1    0.000    0.000    0.001    0.001 groupby.py:1034(GroupBy)
        1    0.000    0.000    0.076    0.076 generic.py:7(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
      161    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
        2    0.000    0.000    0.001    0.001 period.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
      144    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
       89    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      216    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
      161    0.000    0.000    0.000    0.000 _decorators.py:283(__init__)
      189    0.000    0.000    0.000    0.000 generic.py:10(_check)
        1    0.000    0.000    0.001    0.001 DT.py:502(to_code)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parsers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.002    0.002 blocks.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _decorators.py:224(decorate)
        1    0.000    0.000    0.002    0.002 offsets.py:1(<module>)
       96    0.000    0.000    0.000    0.000 __init__.py:292(_get_op_name)
        1    0.000    0.000    0.000    0.000 random.py:38(<module>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 categorical.py:209(Categorical)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
        1    0.000    0.000    0.002    0.002 tz.py:9(<module>)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.004    0.004 groupby.py:8(<module>)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
       59    0.000    0.000    0.026    0.000 re.py:231(compile)
      283    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      438    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 inspect.py:2732(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
      102    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.001    0.001 ops.py:7(<module>)
       58    0.000    0.000    0.000    0.000 strings.py:1943(_forbid_nonstring_types)
        6    0.000    0.000    0.000    0.000 base.py:1107(_add_comparison_ops)
       21    0.000    0.000    0.000    0.000 common.py:1844(pandas_dtype)
       21    0.000    0.000    0.000    0.000 dtypes.py:75(find)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       55    0.000    0.000    0.000    0.000 extension.py:24(inherit_from_data)
       26    0.000    0.000    0.000    0.000 core.py:6665(getdoc)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
       11    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
       27    0.000    0.000    0.000    0.000 inspect.py:2452(__init__)
      113    0.000    0.000    0.000    0.000 typing.py:518(_get_type_vars)
      130    0.000    0.000    0.000    0.000 typing.py:1019(_abc_negative_cache)
        3    0.000    0.000    0.002    0.001 __init__.py:9(<module>)
       17    0.000    0.000    0.001    0.000 abc.py:151(register)
        2    0.000    0.000    0.003    0.001 categorical.py:1(<module>)
        2    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
       98    0.000    0.000    0.001    0.000 common.py:24(wrapper)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
        3    0.000    0.000    0.002    0.001 enum.py:604(_convert)
        1    0.000    0.000    0.001    0.001 rolling.py:1802(Rolling)
        4    0.000    0.000    0.000    0.000 methods.py:225(_add_methods)
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
       95    0.000    0.000    0.000    0.000 typing.py:1033(_abc_negative_cache_version)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        5    0.000    0.000    0.000    0.000 base.py:5048(_add_numeric_methods_disabled)
        1    0.000    0.000    0.001    0.001 interval.py:120(IntervalArray)
        3    0.000    0.000    0.000    0.000 six.py:866(wrapper)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
        1    0.000    0.000    0.000    0.000 DT.py:155(class_loss_to_matrix)
       56    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
       23    0.000    0.000    0.002    0.000 overrides.py:206(decorator)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
     13/3    0.000    0.000    0.001    0.000 typing.py:875(__extrahook__)
        1    0.000    0.000    0.002    0.002 hmac.py:4(<module>)
        3    0.000    0.000    0.004    0.001 __init__.py:2(<module>)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      240    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.005    0.005 std.py:9(<module>)
        1    0.000    0.000    0.001    0.001 expanding.py:10(Expanding)
        1    0.000    0.000    0.000    0.000 generic.py:812(DataFrameGroupBy)
      228    0.000    0.000    0.000    0.000 typing.py:165(__init__)
        2    0.000    0.000    0.001    0.000 concat.py:3(<module>)
        1    0.000    0.000    0.001    0.001 format.py:527(DataFrameFormatter)
        1    0.000    0.000    0.001    0.001 managers.py:1(<module>)
       10    0.000    0.000    0.000    0.000 extension.py:105(wrapper)
       54    0.000    0.000    0.001    0.000 config.py:730(inner)
        8    0.000    0.000    0.000    0.000 enum.py:767(_create_pseudo_member_)
      103    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
       12    0.000    0.000    0.000    0.000 generic.py:11188(_make_stat_function)
        1    0.000    0.000    0.000    0.000 category.py:38(CategoricalIndex)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cast.py:1(<module>)
       22    0.000    0.000    0.001    0.000 __init__.py:559(_flex_method_SERIES)
        1    0.000    0.000    0.003    0.003 platform.py:946(uname)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       10    0.000    0.000    0.001    0.000 typing.py:1342(__getitem_inner__)
        1    0.000    0.000    0.001    0.001 histograms.py:3(<module>)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
      188    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
        1    0.000    0.000    0.001    0.001 array.py:3(<module>)
        1    0.000    0.000    0.002    0.002 strings.py:1(<module>)
        1    0.000    0.000    0.003    0.003 frequencies.py:1(<module>)
       67    0.000    0.000    0.000    0.000 accessor.py:97(_create_delegator_method)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
       89    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.001    0.001 ops.py:2(<module>)
        1    0.000    0.000    0.002    0.002 _typing.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6744(<genexpr>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
       74    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
       17    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
        3    0.000    0.000    0.003    0.001 __init__.py:5(<module>)
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
        1    0.000    0.000    0.013    0.013 py3k.py:12(<module>)
       89    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
      137    0.000    0.000    0.000    0.000 expr.py:160(<lambda>)
        1    0.000    0.000    0.006    0.006 _decorators.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2938(__array_finalize__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
       27    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       99    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.001    0.001 pytables.py:3110(Table)
        1    0.000    0.000    0.004    0.004 rolling.py:4(<module>)
        1    0.000    0.000    0.001    0.001 datetimelike.py:397(DatetimeLikeArrayMixin)
       38    0.000    0.000    0.000    0.000 config.py:699(config_prefix)
        1    0.000    0.000    0.003    0.003 secrets.py:7(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:29(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 pytables.py:455(HDFStore)
        1    0.000    0.000    0.002    0.002 _json.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:49(<setcomp>)
        1    0.000    0.000    0.010    0.010 config.py:49(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
      138    0.000    0.000    0.000    0.000 expr.py:161(<genexpr>)
       16    0.000    0.000    0.000    0.000 integer.py:609(_create_arithmetic_method)
        1    0.000    0.000    0.001    0.001 base.py:57(ExtensionArray)
      220    0.000    0.000    0.000    0.000 typing.py:931(<genexpr>)
        1    0.000    0.000    0.000    0.000 _iotools.py:499(StringConverter)
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ufunclike.py:5(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:236(_sanity_check)
       71    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       54    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.001    0.001 generic.py:148(SeriesGroupBy)
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
        1    0.000    0.000    0.006    0.006 _datasource.py:36(<module>)
       57    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
        1    0.000    0.000    0.000    0.000 std.py:187(tqdm)
        1    0.000    0.000    0.000    0.000 melt.py:1(<module>)
        1    0.000    0.000    0.002    0.002 datetimelike.py:3(<module>)
        1    0.000    0.000    0.001    0.001 printing.py:3(<module>)
        1    0.000    0.000    0.004    0.004 datetimelike.py:1(<module>)
       16    0.000    0.000    0.000    0.000 offsets.py:93(apply_wraps)
        2    0.000    0.000    0.001    0.000 missing.py:3(<module>)
        1    0.000    0.000    0.001    0.001 construction.py:6(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       20    0.000    0.000    0.000    0.000 dtypes.py:867(construct_from_string)
      227    0.000    0.000    0.000    0.000 typing.py:139(__init__)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
        1    0.000    0.000    0.021    0.021 overrides.py:1(<module>)
       45    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
      156    0.000    0.000    0.000    0.000 enum.py:594(name)
       24    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:61(PeriodArray)
        6    0.000    0.000    0.000    0.000 base.py:5203(_make_logical_function)
       42    0.000    0.000    0.000    0.000 base.py:132(_make_arithmetic_op)
        1    0.000    0.000    0.000    0.000 accessors.py:3(<module>)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.014    0.014 __init__.py:10(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
       88    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
        1    0.000    0.000    0.001    0.001 pivot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 groupby.py:357(_GroupBy)
        1    0.000    0.000    0.000    0.000 ops.py:59(BaseGrouper)
        1    0.000    0.000    0.000    0.000 rolling.py:59(_Window)
        1    0.000    0.000    0.000    0.000 period.py:82(PeriodIndex)
        1    0.000    0.000    0.000    0.000 datetimelike.py:78(DatetimeIndexOpsMixin)
       17    0.000    0.000    0.000    0.000 array.py:1374(_create_arithmetic_method)
        1    0.000    0.000    0.002    0.002 boolean.py:1(<module>)
       13    0.000    0.000    0.000    0.000 nanops.py:51(__init__)
       20    0.000    0.000    0.000    0.000 dtypes.py:1072(construct_from_string)
        1    0.000    0.000    0.006    0.006 dtypes.py:1(<module>)
       82    0.000    0.000    0.000    0.000 typing.py:1263(<genexpr>)
        1    0.000    0.000    0.008    0.008 __init__.py:71(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:187(_set_up_aliases)
       20    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 _normalize.py:4(<module>)
       14    0.000    0.000    0.000    0.000 expr.py:166(_filter_nodes)
      115    0.000    0.000    0.000    0.000 expr.py:172(<lambda>)
        1    0.000    0.000    0.001    0.001 rolling.py:772(Window)
        1    0.000    0.000    0.000    0.000 blocks.py:91(Block)
        8    0.000    0.000    0.000    0.000 generic.py:11243(_make_cum_function)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.010    0.010 api.py:1(<module>)
       16    0.000    0.000    0.001    0.000 accessor.py:146(add_delegate_accessors)
        1    0.000    0.000    0.001    0.001 base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:113(DatetimeArray)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:81(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
       18    0.000    0.000    0.000    0.000 core.py:1003(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 DT.py:10(DecisionTreeClassifier)
       19    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
      154    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 managers.py:61(BlockManager)
        2    0.000    0.000    0.000    0.000 generic.py:309(_setup_axes)
        1    0.000    0.000    0.000    0.000 numpy_.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2678(Day)
        4    0.000    0.000    0.000    0.000 methods.py:221(<dictcomp>)
        1    0.000    0.000    0.004    0.004 base.py:7(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:10(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:11(<genexpr>)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:562(Popen)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:602(PurePath)
       98    0.000    0.000    0.000    0.000 common.py:11(unpack_zerodim_and_defer)
        1    0.000    0.000    0.000    0.000 common.py:5(<module>)
        7    0.000    0.000    0.000    0.000 _decorators.py:172(_deprecate_kwarg)
       26    0.000    0.000    0.000    0.000 core.py:6660(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:124(<module>)
        1    0.000    0.000    0.000    0.000 _core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ewm.py:30(EWM)
        1    0.000    0.000    0.008    0.008 ewm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 construction.py:4(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        4    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f1e2c255f28}
        1    0.000    0.000    0.000    0.000 pytables.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reshape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 docstrings.py:3(<module>)
      118    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.000    0.000 _parser.py:30(<module>)
      134    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 threading.py:738(Thread)
        3    0.000    0.000    0.000    0.000 platform.py:1172(_sys_version)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        4    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
        5    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
        5    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        1    0.000    0.000    0.000    0.000 sql.py:4(<module>)
        1    0.000    0.000    0.000    0.000 tile.py:3(<module>)
        6    0.000    0.000    0.000    0.000 generic.py:11221(_make_stat_function_ddof)
       34    0.000    0.000    0.000    0.000 nanops.py:53(<genexpr>)
        1    0.000    0.000    0.001    0.001 array_ops.py:4(<module>)
      108    0.000    0.000    0.000    0.000 invalid.py:38(make_invalid_op)
        1    0.000    0.000    0.000    0.000 dtypes.py:164(CategoricalDtype)
        9    0.000    0.000    0.000    0.000 version.py:307(parse)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:757(__init__)
       78    0.000    0.000    0.000    0.000 _internal.py:795(<genexpr>)
        1    0.000    0.000    0.003    0.003 platform.py:803(_syscmd_uname)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       17    0.000    0.000    0.000    0.000 getlimits.py:521(max)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _monitor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cli.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        6    0.000    0.000    0.000    0.000 groupby.py:1341(groupby_function)
        4    0.000    0.000    0.000    0.000 generic.py:11338(_make_logical_function)
       22    0.000    0.000    0.000    0.000 numpy_.py:438(_create_arithmetic_method)
        1    0.000    0.000    0.000    0.000 offsets.py:2683(Hour)
        1    0.000    0.000    0.000    0.000 accessor.py:6(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:487(_arith_method_SERIES)
       20    0.000    0.000    0.000    0.000 dtypes.py:334(construct_from_string)
        5    0.000    0.000    0.000    0.000 typing.py:668(_tp_cache)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:382(_NormalAccessor)
        4    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 html.py:5(<module>)
        1    0.000    0.000    0.002    0.002 engines.py:3(<module>)
       30    0.000    0.000    0.000    0.000 generic.py:89(generate_property)
        2    0.000    0.000    0.000    0.000 generic.py:133(pinner)
        1    0.000    0.000    0.000    0.000 base.py:131(SelectionMixin)
        6    0.000    0.000    0.000    0.000 nanops.py:87(__call__)
        6    0.000    0.000    0.001    0.000 __init__.py:791(_flex_comp_method_FRAME)
       53    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
        1    0.000    0.000    0.004    0.004 case.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8001(getdoc)
        1    0.000    0.000    0.000    0.000 base.py:5(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:159(ones)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:345(_Pickler)
       27    0.000    0.000    0.000    0.000 pathlib.py:119(<genexpr>)
       23    0.000    0.000    0.000    0.000 overrides.py:202(array_function_from_dispatcher)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
        1    0.000    0.000    0.000    0.000 _print_versions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 align.py:2(<module>)
        1    0.000    0.000    0.001    0.001 range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:82(DatetimeIndex)
        1    0.000    0.000    0.000    0.000 numeric.py:241(Int64Index)
        1    0.000    0.000    0.000    0.000 timedeltas.py:69(TimedeltaArray)
       16    0.000    0.000    0.000    0.000 strings.py:1962(_noarg_wrapper)
        1    0.000    0.000    0.000    0.000 offsets.py:2688(Minute)
       13    0.000    0.000    0.000    0.000 nanops.py:58(__call__)
       40    0.000    0.000    0.000    0.000 __init__.py:221(_get_frame_op_default_axis)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1009(poly1d)
        1    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1810(chararray)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       27    0.000    0.000    0.000    0.000 pathlib.py:120(<genexpr>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
       56    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        4    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
       19    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
      108    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.000    0.000 expr.py:289(f)
        1    0.000    0.000    0.004    0.004 eval.py:5(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:2293(DatetimeTZBlock)
