,uid,speed,me_to_junc,me_to_inf,x1_vs_me,inf_rel_speed,x1_rel_speed,acc_label
0,"(0, 0, '0')",0.1,1.9866262804649657,1.2953865424762507,0.9099322317328076,0.0,0.0,0
1,"(0, 0, '1')",0.1,0.7805112542073298,1.9063120739869408,0.7081829375388262,0.0,0.0,-1
2,"(0, 0, '2')",0.1,0.8719823072851111,4.384247877796138,0.5873336272737396,0.0,0.0,-1
3,"(0, 0, '3')",0.1,0.28464868001137145,8.428837007418105,-0.5873336272737396,0.0,0.0,0
4,"(0, 0, '4')",0.1,0.0036892654512718503,1.5442139336618794,-2.462939929899565,0.0,0.0,0
5,"(0, 0, '5')",0.1,0.8647375464116592,3.0526811272935186,-5.88472709189287,0.0,0.0,0
6,"(0, 0, '6')",0.1,1.0766940487321581,2.5618769172130347,0.3854543107434433,0.0,0.0,0
7,"(0, 0, '7')",0.1,3.453811112230828,1.679142287004265,2.762571374242113,0.0,0.0,0
8,"(0, 0, '8')",0.1,1.7746688252265632,0.6979747764944051,1.0834290872378483,0.0,0.0,-1
9,"(0, 0, '9')",0.1,0.6912397379887149,3.676999110542784,-0.3854543107434433,0.0,0.0,0
10,"(0, 0, '10')",0.1,0.07232831666850362,0.808983735486339,-0.7081829375388262,0.0,0.0,0
11,"(0, 1, '0')",0.1,1.8866262804649656,1.2953865424762507,0.9099322317328076,0.0,0.0,0
12,"(0, 1, '1')",0.09166666666666667,0.688844587540663,1.9146454073202739,-2.3361648564213597,-0.008333333333333331,-0.008333333333333331,1
13,"(0, 1, '2')",0.09166666666666667,0.7803156406184444,4.392581211129473,0.595666960607073,-0.008333333333333331,-0.008333333333333331,-1
14,"(0, 1, '3')",0.1,0.18464868001137133,8.420503674084772,-0.595666960607073,0.008333333333333331,0.008333333333333331,0
15,"(0, 1, '4')",0.1,2.3089514800735387,1.5442139336618792,-4.34051315823099,0.0,0.0,0
16,"(0, 1, '5')",0.1,0.7647375464116593,3.0526811272935186,-5.884727091892869,0.0,0.0,0
17,"(0, 1, '6')",0.1,0.976694048732158,2.5535435838797014,0.38545431074344316,0.008333333333333331,0.0,-2
18,"(0, 1, '7')",0.1,3.3538111122308285,1.6708089536709319,2.7625713742421136,0.008333333333333331,0.0,0
19,"(0, 1, '8')",0.09166666666666667,1.6830021585598964,0.7063081098277384,1.0917624205711816,-0.008333333333333331,-0.008333333333333331,-1
20,"(0, 1, '9')",0.1,0.5912397379887149,3.676999110542784,-0.38545431074344316,0.0,0.0,0
21,"(0, 1, '10')",0.1,2.6956100159513046,0.808983735486339,1.7189159672191465,0.0,0.0,0
22,"(0, 2, '0')",0.1,1.7866262804649655,1.2953865424762507,0.8849322317328074,0.0,0.024999999999999994,0
23,"(0, 2, '1')",0.1,0.5888445875406629,1.9146454073202737,-2.3361648564213597,0.0,0.0,0
24,"(0, 2, '2')",0.08333333333333334,0.696982307285111,4.409247877796139,0.6123336272737396,-0.016666666666666663,-0.016666666666666663,-1
25,"(0, 2, '3')",0.1,0.08464868001137132,8.420503674084772,-0.6123336272737396,0.0,0.016666666666666663,0
26,"(0, 2, '4')",0.1,2.208951480073538,1.544213933661879,-4.34051315823099,0.0,0.0,0
27,"(0, 2, '5')",0.1,0.6647375464116593,3.0526811272935186,-5.884727091892868,0.0,0.0,0
28,"(0, 2, '6')",0.07500000000000001,0.9016940487321581,2.5618769172130342,0.4104543107434433,-0.008333333333333331,-0.024999999999999994,-1
29,"(0, 2, '7')",0.1,3.2538111122308284,1.654142287004265,2.7625713742421136,0.016666666666666663,0.0,0
30,"(0, 2, '8')",0.08333333333333334,1.5996688252265632,0.6979747764944051,1.1084290872378484,0.008333333333333331,-0.016666666666666663,-1
31,"(0, 2, '9')",0.1,0.4912397379887148,3.676999110542784,-0.4104543107434433,0.0,0.024999999999999994,0
